"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_454: Married or living common law","v_CA16_463: Not married and not living common law","v_CA16_466: Never married","v_CA16_469: Separated","v_CA16_472: Divorced","v_CA16_475: Widowed","v_CA16_479: 2 persons","v_CA16_480: 3 persons","v_CA16_481: 4 persons","v_CA16_482: 5 or more persons","v_CA16_483: Average size of census families","v_CA16_2207: Median total income in 2015 among recipients ($)","v_CA16_2209: Median total income in 2015 among recipients ($)","v_CA16_2208: Median total income in 2015 among recipients ($)","v_CA16_408: Occupied private dwellings by structural type of dwelling data","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_411: Other attached dwelling","v_CA16_417: Movable dwelling","v_CA16_2309: Under $10,000 (including loss)","v_CA16_2312: $10,000 to $19,999","v_CA16_2315: $20,000 to $29,999","v_CA16_2318: $30,000 to $39,999","v_CA16_2321: $40,000 to $49,999","v_CA16_2324: $50,000 to $59,999","v_CA16_2327: $60,000 to $69,999","v_CA16_2330: $70,000 to $79,999","v_CA16_2333: $80,000 and over","v_CA16_2336: $80,000 to $89,999","v_CA16_2339: $90,000 to $99,999","v_CA16_2342: $100,000 and over","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_5795: Car, truck, van - as a driver","v_CA16_5798: Car, truck, van - as a passenger","v_CA16_5801: Public transit","v_CA16_5804: Walked","v_CA16_5807: Bicycle","v_CA16_5810: Other method","v_CA16_5816: Less than 15 minutes","v_CA16_5819: 15 to 29 minutes","v_CA16_5822: 30 to 44 minutes","v_CA16_5825: 45 to 59 minutes","v_CA16_5828: 60 minutes and over","v_CA16_2427: Under $5,000","v_CA16_2428: $5,000 to $9,999","v_CA16_2429: $10,000 to $14,999","v_CA16_2430: $15,000 to $19,999","v_CA16_2431: $20,000 to $24,999","v_CA16_2432: $25,000 to $29,999","v_CA16_2433: $30,000 to $34,999","v_CA16_2434: $35,000 to $39,999","v_CA16_2435: $40,000 to $44,999","v_CA16_2436: $45,000 to $49,999","v_CA16_2437: $50,000 to $59,999","v_CA16_2438: $60,000 to $69,999","v_CA16_2439: $70,000 to $79,999","v_CA16_2440: $80,000 to $89,999","v_CA16_2441: $90,000 to $99,999","v_CA16_2442: $100,000 and over","v_CA16_4893: Median monthly shelter costs for owned dwellings ($)","v_CA16_4894: Average monthly shelter costs for owned dwellings ($)","v_CA16_4895: Median value of dwellings ($)","v_CA16_4896: Average value of dwellings ($)","v_CA16_4891: % of owner households with a mortgage","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4898: % of tenant households in subsidized housing...79","v_CA16_4898: % of tenant households in subsidized housing...80","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs","v_CA16_4900: Median monthly shelter costs for rented dwellings ($)","v_CA16_4901: Average monthly shelter costs for rented dwellings ($)","v_CA16_5099: No certificate, diploma or degree","v_CA16_5102: Secondary (high) school diploma or equivalency certificate","v_CA16_5108: Apprenticeship or trades certificate or diploma","v_CA16_5117: College, CEGEP or other non-university certificate or diploma","v_CA16_5120: University certificate or diploma below bachelor level","v_CA16_5123: University certificate, diploma or degree at bachelor level or above","v_CA16_5603: Employed","v_CA16_5606: Unemployed","v_CA16_5609: Not in the labour force","v_CA16_5663: 0 Management occupations","v_CA16_5669: 2 Natural and applied sciences and related occupations","v_CA16_5672: 3 Health occupations","v_CA16_5675: 4 Occupations in education, law and social, community and government services","v_CA16_5678: 5 Occupations in art, culture, recreation and sport","v_CA16_5681: 6 Sales and service occupations","v_CA16_5684: 7 Trades, transport and equipment operators and related occupations","v_CA16_5687: 8 Natural resources, agriculture and related production occupations","v_CA16_5690: 9 Occupations in manufacturing and utilities","v_CA16_4002: North American Aboriginal origins","v_CA16_4014: Other North American origins","v_CA16_4044: European origins","v_CA16_4806: Oceania origins","v_CA16_4266: Caribbean origins","v_CA16_4329: Latin, Central and South American origins","v_CA16_4611: West Central Asian and Middle Eastern origins","v_CA16_4698: South Asian origins","v_CA16_4743: East and Southeast Asian origins","v_CA16_4800: Other Asian origins","v_CA16_3408: Non-immigrants","v_CA16_3411: Immigrants","v_CA16_3435: Non-permanent residents"
"1","59152341","DA","Langley",0.19444,770,360,360,"5915002","5915","9330503.08","59933",350,325,180,35,45,70,140,50,15,10,2.5,32512,25408,37333,360,45,0,315,5,60,135,130,125,85,45,30,15,10,5,5,5,14,15.3,285,25,10,25,0,0,110,80,95,45,25,5,5,10,15,25,15,30,25,20,25,55,30,35,25,20,35,1011,1114,401246,398831,53.8,23.1,95,0,0,20,1287,1221,65,135,45,100,15,45,365,40,285,35,15,10,25,10,105,80,10,10,40,190,525,0,0,20,15,65,90,0,600,170,25
"2","59152342","DA","Langley",0.27287,290,114,113,"5915002","5915","9330503.08","59933",155,95,60,5,20,10,35,20,20,10,3,39488,32448,50944,110,90,0,25,0,30,35,45,35,40,20,15,10,20,10,5,5,6.9,6.9,145,10,0,10,0,0,70,70,30,0,10,0,0,0,0,5,5,5,5,5,5,10,5,10,10,10,35,1435,1425,601220,596578,68.2,0,0,0,0,0,0,0,25,55,25,55,10,25,195,0,65,25,10,10,20,10,50,30,0,0,20,60,250,10,0,0,0,0,10,0,225,50,0
"3","59152343","DA","Langley",0.16384,880,444,442,"5915002","5915","9330503.08","59933",405,345,210,40,70,30,155,55,30,10,2.6,39910,31936,53120,445,40,0,400,0,70,120,115,120,110,85,50,20,35,15,5,15,10.9,16,440,20,15,0,0,10,155,140,110,35,50,0,5,20,25,15,25,30,25,25,35,50,35,40,25,35,55,1264,1236,234969,334597,83.6,29.1,150,0,0,46.7,1145,1061,50,140,90,150,45,80,520,25,175,60,25,25,55,20,110,75,20,15,35,285,670,0,30,20,0,20,30,10,695,140,0
"4","59152344","DA","Langley",0.0967,662,330,321,"5915002","5915","9330503.06","59933",300,275,155,15,65,35,105,30,25,10,2.6,39232,32896,48192,320,25,0,295,0,50,85,95,95,90,55,30,20,20,15,5,5,6.8,8.3,270,10,20,10,10,0,95,100,65,25,45,0,0,5,5,15,20,10,25,20,30,25,50,25,20,20,40,1214,1117,250648,303939,75.5,16,80,0,0,0,1288,1225,50,120,30,75,10,55,355,15,205,25,0,10,30,10,115,75,20,0,25,180,485,0,10,30,0,15,135,0,480,180,10
"5","59152345","DA","Langley",0.11212,955,586,568,"5915002","5915","9330503.06","59933",380,490,255,30,130,70,170,40,15,5,2.4,34496,30101,41114,570,0,0,570,0,85,145,175,150,120,75,50,15,15,10,0,5,14.6,16.8,435,35,35,15,0,0,115,185,110,55,55,15,10,15,25,45,35,55,45,45,35,70,60,35,25,20,25,1043,1009,219658,211745,75,30.9,240,8.5,8.5,40.4,1015,1012,70,175,40,135,20,115,530,30,275,45,20,45,60,0,145,100,20,35,20,170,775,0,10,10,10,15,70,0,735,145,20
"6","59152346","DA","Langley",0.084,987,500,494,"5915002","5915","9330503.06","59933",420,420,220,30,100,65,170,45,30,10,2.6,33856,26517,43520,495,10,0,485,0,85,135,170,130,120,70,55,15,15,10,0,5,13.2,18.9,390,25,65,40,10,0,135,115,120,65,75,10,5,10,20,45,35,30,35,40,35,70,55,35,30,15,30,1080,1062,214130,219540,76.8,26.3,200,9.8,9.8,43.9,1078,1093,55,175,50,150,15,120,540,30,245,60,20,10,65,10,175,90,20,25,65,175,715,0,15,30,10,25,185,0,710,245,0
"7","59152347","DA","Langley",0.07251,751,358,357,"5915002","5915","9330503.06","59933",275,350,215,25,75,30,120,50,30,10,2.7,31488,27584,41344,355,15,0,340,0,65,110,135,95,70,50,25,20,20,10,5,5,20,22.7,280,10,10,20,0,10,70,95,50,50,50,5,5,10,20,30,20,25,35,30,25,35,30,25,20,20,35,1248,1158,240538,274520,78,26.8,160,18.8,18.8,56.2,1081,1024,40,160,55,120,10,50,370,20,215,20,20,25,30,10,120,75,15,10,70,180,580,10,20,30,0,30,105,0,630,120,15
"8","59152348","DA","Langley",0.04371,404,195,195,"5915002","5915","9330503.07","59933",130,200,125,20,45,10,50,35,15,10,2.8,25344,19552,34688,195,0,0,195,0,55,85,55,50,30,20,10,5,5,5,0,0,22.2,30.9,165,10,30,20,0,0,45,80,65,10,25,10,0,10,20,15,10,10,15,15,10,20,15,20,10,5,5,1221,1122,250128,218279,84.6,0,140,10.7,10.7,63,958,1002,80,100,40,35,0,15,235,25,130,25,10,10,10,10,60,75,0,25,35,170,385,0,0,0,0,0,20,0,405,35,0
"9","59152350","DA","Langley",0.09826,742,501,489,"5915002","5915","9330503.07","59933",290,415,155,35,125,100,150,20,10,0,2.2,27755,23232,35456,490,0,0,490,0,60,165,185,110,80,50,15,15,10,5,5,5,16.9,21.6,215,10,40,45,0,0,65,80,95,40,35,5,10,20,40,75,35,45,30,45,35,55,30,25,10,5,25,604,829,200515,203888,50,28.8,140,0,0,39.3,806,830,60,160,10,75,0,55,325,25,350,20,15,10,35,15,130,60,10,10,55,210,605,0,10,10,10,20,25,0,590,150,0
"10","59152351","DA","Langley",0.19984,572,195,193,"5915002","5915","9330503.03","59933",265,190,140,10,25,15,60,45,45,15,3.1,35456,28928,42368,195,125,0,70,0,70,75,60,60,45,45,30,15,30,10,5,10,9.6,10.4,295,20,30,25,10,0,80,130,85,50,30,5,0,0,5,0,0,10,5,10,10,15,20,15,20,20,60,1575,1687,599954,566259,83.3,20,50,0,0,54.5,1205,1287,55,100,40,95,20,55,395,30,60,50,30,0,25,20,125,105,10,25,120,110,505,15,0,10,15,0,20,0,530,90,0
"11","59152352","DA","Langley",0.30003,589,199,190,"5915002","5915","9330503.03","59933",295,145,105,5,15,15,55,35,50,20,3.3,39808,28992,54144,190,155,0,40,0,60,55,65,70,50,35,25,30,40,5,15,15,5.1,5.9,275,40,0,0,0,0,90,75,65,50,50,0,5,5,0,0,10,5,10,5,0,15,20,15,20,20,65,1650,1507,600883,613162,74.3,0,0,0,0,0,0,0,20,90,45,100,0,55,335,10,120,35,10,25,55,10,95,65,10,10,20,130,485,0,10,10,0,10,70,0,495,90,0
"12","59152353","DA","Langley",0.1782,379,139,136,"5915002","5915","9330503.03","59933",180,130,100,10,15,10,35,25,25,15,3.2,36395,29120,50048,135,90,0,45,0,50,45,45,40,35,30,15,20,25,5,5,10,6.6,7.9,185,0,20,0,0,10,30,70,45,25,40,0,0,0,0,5,0,5,5,5,0,15,10,10,10,10,40,1751,1607,642963,635692,72.7,36.4,20,0,0,0,0,0,40,70,15,45,0,30,235,10,85,40,10,0,30,15,65,25,10,0,0,100,345,0,0,15,15,0,0,0,330,45,0
"13","59152354","DA","Langley",0.17042,493,184,179,"5915002","5915","9330503.03","59933",230,165,120,15,20,10,65,35,35,10,3,38272,29760,55936,180,85,0,95,0,45,60,55,50,50,30,40,15,25,10,5,10,6.1,8.2,180,15,10,10,0,0,40,70,50,45,15,0,0,0,5,5,0,10,5,5,10,15,25,15,10,15,55,1716,1581,551318,558650,80,13.3,15,0,0,0,0,0,15,70,30,85,10,55,230,15,135,20,15,0,50,0,45,60,0,0,30,170,420,10,0,0,0,0,0,0,435,35,0
"14","59152355","DA","Langley",0.19862,467,160,152,"5915002","5915","9330503.03","59933",245,135,105,0,10,15,55,30,35,10,3.2,38016,26080,51840,150,115,0,35,0,60,55,50,45,35,40,20,25,35,5,10,20,3.2,5.3,185,0,0,0,0,0,50,35,45,25,35,0,0,0,0,5,5,5,5,5,5,15,15,10,15,15,60,1472,1583,781638,767439,62.1,17.2,0,0,0,0,0,0,15,55,35,55,25,65,200,20,145,25,15,20,40,0,30,55,0,10,0,120,310,10,0,25,0,0,55,0,375,35,10
